gene,pval_hr6_vs_0,ratio_hr6_vs_0,pval_day1_vs_0,ratio_day1_vs_0,pval_day3_vs_0,ratio_day3_vs_0,pval_day7_vs_0,ratio_day7_vs_0
ADAM7,0.668203,0.9772,0.904901,0.995267,0.362682,1.05036,0.443196,1.04221
ADAM8,0.60829,0.949095,0.201168,0.907665,0.596984,1.05538,0.636114,0.952921
ADAM9,0.792445,0.938759,0.000628535,1.90076,0.926455,0.978082,0.815593,0.945533
ADAMDEC1,0.921362,0.948083,0.000254204,4.75335,0.604695,1.32302,0.831935,1.12146
ADAMTS1,0.141823,0.884604,1.84E-06,0.721642,0.773144,1.0241,0.483789,0.943676
ADAMTS10,0.314598,0.916655,0.0808058,0.893412,0.798415,0.97824,0.964494,0.996174
ADAMTS12,0.0441947,0.849582,0.879533,1.00893,0.727302,0.972667,0.491233,0.946676
ADAMTS13,0.272759,0.854851,0.255432,0.88678,0.110985,0.795014,0.178189,0.824403
ADAMTS14,0.0560511,0.836525,0.563478,1.04,0.375591,0.921614,0.542658,0.945564
ADAMTS15,0.58904,0.953457,0.273333,1.07432,0.331137,1.08982,0.234987,1.11109
ADAMTS16,0.148663,0.909164,0.0744773,0.916378,0.599126,0.966227,0.581181,0.964582
ADAMTS17,0.330119,0.927151,0.08875,0.906138,0.204608,0.905886,0.655199,0.966033
ADAMTS18,0.109195,0.909428,0.334129,0.958925,0.19132,0.925776,0.0543767,0.89167
ADAMTS19,0.296707,0.940368,0.533521,0.973359,0.797053,1.01519,0.831968,0.987639
ADAMTS2,0.13439,0.875844,0.819156,1.0149,0.296488,0.912166,0.718025,0.968845
ADAMTS20,0.0611343,0.924773,0.171694,0.959039,0.425008,0.967678,0.583553,0.977711
ADAMTS3,0.146205,0.900283,0.658706,0.976906,0.945017,0.995077,0.718913,0.97456
ADAMTS4,0.21492,0.884088,0.697642,1.02872,0.676088,0.959607,0.6992,0.96259
ADAMTS5,0.851922,0.986485,2.40E-09,0.680078,0.000383499,0.759219,0.621272,0.964593
ADAMTS6,0.196973,0.892092,0.307457,1.06877,0.538268,0.947312,0.786063,1.02412
ADAMTS6,0.695201,1.03978,0.115721,1.12411,0.981864,0.997741,0.852735,0.981697
ADAMTS7,0.0367008,0.797275,0.208222,0.90535,0.599368,0.945688,0.588106,0.944049
ADAMTS8,0.0517913,0.831401,0.809589,0.983546,0.744959,0.970121,0.66002,0.959793
ADAMTS9,0.0856427,0.878593,0.882249,0.991912,0.427533,0.942638,0.938422,0.994282
ADAMTSL1,0.02482,0.838345,0.957889,1.00299,0.764353,0.977272,0.236639,0.912706
ADAMTSL1,0.219604,0.930269,0.773764,0.987662,0.199648,0.927215,0.608586,0.970474
ADAMTSL3,0.139721,0.897322,0.273922,0.942713,0.501411,0.952272,0.946449,1.00489
ADAMTSL4,0.491368,0.905167,0.000927038,1.45204,0.0609059,1.31708,0.726304,0.950661
ADAMTSL4,0.233835,0.852066,0.778946,0.972684,0.379758,0.888927,0.672196,0.945012
ADAMTSL5,0.181035,0.880595,0.058332,0.874508,0.28549,0.903737,0.571768,0.948027
ADAP1,0.731116,1.03317,0.00293153,1.24335,0.143792,1.15051,0.244783,0.894824
ADAP2,0.213519,1.16413,6.26E-15,2.62415,0.00547281,1.4188,0.922857,0.988327
ADAR,0.119183,1.18633,1.78E-11,1.97493,0.000767231,1.47039,0.494909,1.07695
ADARB1,0.599333,1.04882,0.00355054,0.815915,0.650347,0.959718,0.892384,1.01234
